,Longitude,Latitude,Natural Elevation
771,-74.218,40.546,106.6705
772,-74.218,40.547,95.243
773,-74.218,40.548,82.821
774,-74.218,40.549,72.1245
775,-74.218,40.55,59.201499999999996
776,-74.218,40.551,48.741
777,-74.218,40.552,21.193
778,-74.218,40.553,13.171
779,-74.218,40.554,11.0445
780,-74.218,40.555,3.782
781,-74.217,40.521,29.5605
782,-74.217,40.522,28.671
783,-74.217,40.523,32.701
784,-74.217,40.524,49.528
785,-74.217,40.525,84.5185
786,-74.217,40.526,88.529
787,-74.217,40.527,90.273
788,-74.217,40.528,93.4065
789,-74.217,40.529,93.039
790,-74.217,40.53,93.708
791,-74.217,40.532,92.924
792,-74.217,40.535,83.459
793,-74.217,40.536,81.518
794,-74.217,40.537,85.153
795,-74.217,40.538,97.041
796,-74.217,40.539,110.939
797,-74.217,40.54,128.928
798,-74.217,40.541,124.2495
799,-74.217,40.542,122.417
800,-74.217,40.543,114.39
801,-74.217,40.544,115.9595
802,-74.217,40.545,116.039
803,-74.217,40.546,110.605
804,-74.217,40.547,99.359
805,-74.217,40.548,85.761
806,-74.217,40.549,68.201
807,-74.217,40.55,62.5685
808,-74.217,40.551,47.287
809,-74.217,40.553,24.607
810,-74.217,40.554,20.343
811,-74.217,40.555,11.288
812,-74.216,40.511,0.0
813,-74.216,40.512,49.926500000000004
814,-74.216,40.513,50.352
815,-74.216,40.521,22.1415
816,-74.216,40.522,27.6145
817,-74.216,40.523,31.227
818,-74.216,40.524,45.3285
819,-74.216,40.525,79.462
820,-74.216,40.526,93.35
821,-74.216,40.527,101.526
822,-74.216,40.528,102.301
823,-74.216,40.535,80.784
824,-74.216,40.536,73.142
825,-74.216,40.537,76.346
826,-74.216,40.538,85.597
827,-74.216,40.539,98.331
828,-74.216,40.54,109.757
829,-74.216,40.541,110.247
830,-74.216,40.542,113.05000000000001
831,-74.216,40.543,111.915
832,-74.216,40.544,112.135
833,-74.216,40.545,114.3315
834,-74.216,40.546,115.075
835,-74.216,40.547,105.506
836,-74.216,40.548,85.6185
837,-74.216,40.549,69.78
838,-74.216,40.55,58.706
839,-74.216,40.551,52.834
840,-74.216,40.552,23.436500000000002
841,-74.216,40.554,23.8295
842,-74.216,40.555,20.659
843,-74.215,40.512,41.918000000000006
844,-74.215,40.513,45.1795
845,-74.215,40.521,0.0
846,-74.215,40.522,30.678
847,-74.215,40.523,27.472
848,-74.215,40.524,50.58
849,-74.215,40.525,72.875
850,-74.215,40.526,97.01
851,-74.215,40.527,100.75450000000001
852,-74.215,40.528,92.095
853,-74.215,40.535,66.302
854,-74.215,40.536,62.0025
855,-74.215,40.538,79.376
856,-74.215,40.539,86.656
857,-74.215,40.54,93.927
858,-74.215,40.541,102.125
859,-74.215,40.542,107.472
860,-74.215,40.543,109.26050000000001
861,-74.215,40.544,110.74
862,-74.215,40.545,107.798
863,-74.215,40.546,108.16499999999999
864,-74.215,40.547,102.6285
865,-74.215,40.548,88.49549999999999
866,-74.215,40.549,70.81700000000001
867,-74.215,40.55,58.878
868,-74.215,40.551,51.825
869,-74.215,40.552,26.4265
870,-74.215,40.553,28.531
871,-74.215,40.555,19.017
872,-74.214,40.508,0.0
873,-74.214,40.514,0.0
874,-74.214,40.521,26.57
875,-74.214,40.522,24.327
876,-74.214,40.523,25.433
877,-74.214,40.524,36.713
878,-74.214,40.525,51.706
879,-74.214,40.526,93.072
880,-74.214,40.527,79.47550000000001
881,-74.214,40.528,59.149
882,-74.214,40.529,52.115
883,-74.214,40.535,60.617
884,-74.214,40.536,62.507000000000005
885,-74.214,40.537,65.79599999999999
886,-74.214,40.538,70.888
887,-74.214,40.539,79.329
888,-74.214,40.54,83.297
889,-74.214,40.541,91.837
890,-74.214,40.542,107.173
891,-74.214,40.543,105.17
